"  [ 145.158976233890598, -36.469521157617578 ] "
"  [ 145.24112047227419, -38.002247517493529 ] "
"  [ 142.903040118810935, -38.562059277921357 ] "
"  [ 146.682353300588574, -38.659407999073736 ] "
"  [ 143.516201030599973, -36.353348535887534 ] "
"  [ 144.948655265359122, -37.805504626565082 ] "
"  [ 142.782319127359273, -38.062070718389045 ] "
"  [ 145.140839642520348, -37.91645176623198 ] "
"  [ 144.358760484454251, -38.181112463694767 ] "
"  [ 144.26057724259752, -38.335922582217357 ] "
"  [ 144.342867284003489, -38.131141807864985 ] "
"  [ 144.215184938047912, -37.552440227417833 ] "
"  [ 145.161955790743633, -37.789163093107923 ] "
"  [ 145.277359870566187, -38.083870039175608 ] "
"  [ 145.019197139188577, -37.901303128832787 ] "
"  [ 144.338491460969209, -38.179021747337693 ] "
"  [ 144.778950197664415, -37.744276697110031 ] "
"  [ 145.295669994030845, -37.770249989756302 ] "
"  [ 144.963677632578253, -37.72746039097477 ] "
"  [ 141.904937982946336, -37.355821310445066 ] "
"  [ 144.321319048896129, -36.678899873333251 ] "
"  [ 143.652893950133688, -38.287372303404958 ] "
"  [ 142.967402715386356, -36.66131234513275 ] "
"  [ 142.522861552484812, -36.74695235217601 ] "
"  [ 146.697928085077535, -36.316589498216196 ] "
"  [ 146.697928085077535, -36.316589498216196 ] "
"  [ 141.144049346408735, -36.436228948804505 ] "
"  [ 143.668821959411531, -37.876597840374707 ] "
"  [ 147.567652784624926, -37.841920412967994 ] "
"  [ 146.14382953255614, -37.18431031029548 ] "
"  [ 145.086291476222783, -37.924495858925667 ] "
"  [ 145.331894786978722, -35.925480993902582 ] "
"  [ 144.939850488315898, -37.665800328902549 ] "
"  [ 145.282240369856879, -37.977968128169657 ] "
"  [ 143.731427792192108, -35.405512567649332 ] "
"  [ 145.085127855725034, -37.91041972606952 ] "
"  [ 144.855601750131143, -37.726826082692796 ] "
"  [ 141.469979839787356, -38.23938040285222 ] "
"  [ 144.670770018828961, -36.486286674884958 ] "
"  [ 144.661987027070865, -37.890037033570245 ] "
"  [ 145.037399975320085, -37.933305632857149 ] "
"  [ 147.391050349943924, -38.20694839808634 ] "
"  [ 142.109389998558356, -36.739089969692898 ] "
"  [ 145.097513983264349, -37.824510498340302 ] "
"  [ 145.097513983264349, -37.824510498340302 ] "
"  [ 145.25662727413021, -37.778169683583187 ] "
"  [ 144.829734713626749, -37.771600616139459 ] "
"  [ 142.629129780288025, -36.981930233820371 ] "
"  [ 145.425657611582551, -36.309748570169397 ] "
"  [ 144.418429904446356, -37.364169992803767 ] "
"  [ 145.259193006140265, -37.265595847271499 ] "
"  [ 144.804546583273208, -37.744788443905115 ] "
"  [ 145.200776534009123, -38.084119550025079 ] "
"  [ 145.042157365843309, -37.745289694339036 ] "
"  [ 146.787109807474451, -36.081511799773409 ] "
"  [ 145.41580805297869, -36.368394021982958 ] "
"  [ 145.1029609180151, -38.028289654784089 ] "
"  [ 145.71495943424884, -38.117229417922566 ] "
"  [ 142.638710306243865, -37.1950994647908 ] "
"  [ 144.498239507531707, -37.685831730936009 ] "
"  [ 145.300368677215573, -36.325001321321309 ] "
"  [ 145.09593053165753, -37.866147049440578 ] "
"  [ 146.937280093599412, -36.148591360774752 ] "
"  [ 143.679120520170983, -36.792859939526927 ] "
"  [ 144.033289472418176, -38.480430380733097 ] "
"  [ 143.964560374031066, -37.407869168042438 ] "
"  [ 144.750432435888598, -37.814250190974384 ] "
"  [ 144.975280610409726, -37.755540144241742 ] "
"  [ 143.743148816960627, -37.524631774786108 ] "
"  [ 145.532831609720603, -38.133971523043208 ] "
"  [ 144.819439987750599, -37.792840009318439 ] "
"  [ 143.582621527677702, -36.963561430965441 ] "
"  [ 145.778369574371453, -38.08175983352394 ] "
"  [ 144.754692599511174, -37.887902835518801 ] "
